Id,SalePrice
0,126709.50594880953
1,158341.62563030538
2,178888.8168002169
3,194049.78622545715
4,184948.04779388927
5,175634.90438518656
6,181362.9509423303
7,169085.5636234334
8,179335.49359616934
9,119710.40723464874
10,201985.5163503089
11,93075.7018071162
12,108081.85780058963
13,144950.65232478062
14,129748.77981759314
15,343627.11254897085
16,274705.24082440557
17,283103.56597954273
18,248640.93840410077
19,504436.3504460894
20,304938.06623171724
21,200672.4440864267
22,158359.23567617033
23,162460.07776446175
24,170443.49981685253
25,192680.49819193128
26,298626.34689019015
27,231667.9057632093
28,218470.38885733677
29,217029.00205331296
30,180653.8598861043
31,87798.96316869398
32,191711.2168675195
33,304069.37629428
34,290971.9283947525
35,237358.21759891894
36,176769.5085530994
37,154016.01050088258
38,152946.53890528684
39,159906.35939971163
40,170500.10454743824
41,150304.26116478175
42,313815.8156993942
43,234403.2025473613
44,225600.6018521735
45,171493.54740382818
46,226796.27168242336
47,204028.4236912797
48,160330.04807579398
49,155285.47614978705
50,139103.6277138402
51,170634.0685908632
52,152044.49243355234
53,167155.2549234726
54,207616.7288910185
55,161836.17161286078
56,168984.74978618298
57,124042.08962598024
58,225938.24062982804
59,137278.30560849654
60,135469.2470809813
61,176539.75043653353
62,109835.74672540554
63,126429.91231060436
64,128845.11762832892
65,123763.64557248521
66,109670.03702589468
67,141767.01813650609
68,141630.55903109594
69,179976.17943044266
70,115997.40378666567
71,101275.30160797422
72,146621.0055572198
73,121818.02062084396
74,150761.071646121
75,116929.64667610657
76,64104.95332579895
77,186701.10250058552
78,240564.4285930197
79,129281.3943458847
80,145613.61319482737
81,140139.74865931037
82,233687.43717001347
83,75490.21463682361
84,113346.65495198604
85,126435.14438709167
86,140054.67398233712
87,130916.42235103471
88,111024.92510871842
89,132695.68823216064
90,117249.2773533183
91,138798.33574154467
92,143960.78085001255
93,104429.42639942093
94,173493.21718339447
95,61825.7415800292
96,119912.49726670394
97,90866.35996574927
98,112514.78372142522
99,122474.93672770595
100,140226.8315189178
101,134156.67418759663
102,119255.14295561858
103,157011.1870886599
104,149885.36072641204
105,237673.98026376817
106,67189.13385550863
107,227816.90083115347
108,164124.75226987642
109,152165.24988119656
110,122136.95101198087
111,150023.81801321325
112,254652.3584638139
113,119478.31711500626
114,210679.49103853933
115,237596.2241036086
116,202845.501995558
117,152429.7135894686
118,150266.34169072303
119,200887.29854417068
120,145928.59633452512
121,127157.54628306194
122,342275.19316098955
123,228431.79454187705
124,141616.95285862725
125,55587.778417844194
126,102378.37591913721
127,145827.72861671867
128,93291.30527405893
129,139748.03723378677
130,107589.81342448058
131,122926.74125746709
132,126036.33929774893
133,145503.78951213995
134,112452.56906170309
135,244689.49040959077
136,191538.6618955631
137,188249.48780812102
138,184238.74840182872
139,177015.01255999814
140,64537.19845846108
141,126526.25125479019
142,98799.02246130884
143,253552.82486280467
144,251325.2439672265
145,167146.5588916713
146,162778.14325885815
147,213451.054926384
148,189676.30629745717
149,150612.99201040037
150,136755.94459700206
151,158173.43101060612
152,148530.52728376994
153,122258.17398156742
154,87297.00264184177
155,71553.91908156022
156,91485.44864083381
157,130380.31166334308
158,148238.51610579042
159,157485.99677553144
160,140150.92496651996
161,137980.64170851235
162,310385.05850771087
163,196694.71899665453
164,132051.0433197016
165,167353.35216028194
166,182714.50248205
167,270890.49623226
168,174574.00789660864
169,338058.1724697627
170,206161.6742087075
171,246419.8817971851
172,165479.42105847292
173,183410.25241612736
174,176450.7370293675
175,146493.71960643277
176,187493.35375883005
177,195249.76611490894
178,173915.1073467762
179,268206.9239238918
180,182680.4784065743
181,211719.42803638917
182,223771.03855378568
183,231358.71522908466
184,177883.54439568162
185,157390.03279978
186,154507.22052400734
187,130336.34805053269
188,135906.46044646236
189,109217.41893759552
190,123127.99429793542
191,92596.09485023053
192,105964.19878922954
193,155727.02133586656
194,148260.75159922318
195,147082.2341591573
196,155715.39192123048
197,145976.72501863324
198,143848.75694066385
199,155609.5200013979
200,493033.2376113973
201,436962.5315167862
202,370654.1103744211
203,490592.41051909135
204,300417.1802100996
205,344813.8294593583
206,362251.6937128879
207,302287.48357123474
208,289295.8926390267
209,336666.070089494
210,269208.2676002428
211,468882.34083883784
212,318488.4174328254
213,242017.72655392048
214,199868.2785496615
215,188255.96212492973
216,224350.1370791514
217,492924.03494414367
218,405314.17214464967
219,349936.3862789321
220,256662.19661818424
221,304731.8694349811
222,184193.9669424736
223,166431.06229543997
224,174761.6855521035
225,165720.83489232496
226,165819.13935225824
227,190559.65711234085
228,190596.0107771139
229,188697.34949781038
230,174980.18928574445
231,248410.94188171675
232,164541.40591797562
233,182688.69039178133
234,166438.92177194523
235,268581.84526870714
236,167531.46421004407
237,413507.14625285665
238,320667.468774395
239,275948.26086695894
240,260752.73408339222
241,257516.37583323248
242,253481.9738911407
243,283227.68303836195
244,224594.25183136514
245,474373.613951532
246,223000.99740422316
247,211415.49467776468
248,293424.0429821854
249,225685.54161046623
250,254175.0476367822
251,250261.64263784044
252,265187.71022669936
253,214757.94185736406
254,202640.16223426771
255,196388.95000698787
256,169296.52750362243
257,136924.27946776449
258,189793.62507308027
259,261167.47261201963
260,156855.21986895654
261,121813.88281595253
262,161104.5442875073
263,223976.88087786039
264,233407.06277996505
265,187938.9413199793
266,166466.72896421386
267,184504.16315992965
268,164486.96491941842
269,167159.8539656334
270,120395.58890225674
271,126375.55385728562
272,118250.57905040895
273,123085.24352945428
274,133803.27758636893
275,117091.19623219977
276,407681.9349549171
277,225190.26648800191
278,298664.7969771117
279,219414.77633910943
280,184528.95653834022
281,169853.48324786426
282,170319.9039283293
283,317524.78202183574
284,209898.98191968483
285,236393.52230958876
286,216569.9728514339
287,239189.35922172465
288,153860.15704151752
289,136573.76943835395
290,233345.59363832098
291,123498.95432864643
292,138938.09446524503
293,194526.93947675914
294,166003.33852413727
295,126733.14995105287
296,120211.35603125399
297,146989.29942443664
